age,study_hours_per_day,sleep_hours,phone_usage_hours,social_media_hours,attendance_percentage,stress_level,assignments_completed,productivity_score
21,2.9,8.3,4.0,3.2,90.6,3,7,46.0
21,4.4,3.8,5.9,4.1,50.6,4,9,31.9
22,3.4,6.4,6.5,5.2,63.3,4,3,40.5
22,1.7,6.4,3.8,2.5,92.7,7,15,43.9
19,4.4,4.8,2.8,2.7,77.5,10,22,51.3
21,5.0,5.8,5.6,4.1,51.2,5,8,41.5
20,5.1,7.5,3.5,3.2,75.2,10,9,50.7
21,5.0,5.9,5.6,2.9,83.6,10,5,44.7
18,3.2,7.3,6.3,3.8,72.4,1,19,55.9
19,4.3,4.5,3.9,2.3,74.5,9,14,43.4
23,5.4,7.1,4.6,2.7,86.1,6,21,70.6
22,5.1,10.0,1.9,1.9,73.4,2,14,53.2
22,1.5,3.4,2.4,1.8,69.1,10,19,24.1
19,3.1,7.8,3.7,1.9,53.4,9,10,37.5
21,4.4,5.5,5.3,4.4,100.0,8,7,39.2
23,6.0,7.2,2.1,2.0,79.7,6,5,57.3
24,7.0,7.3,2.7,1.8,66.8,7,26,73.4
24,2.4,7.2,1.0,0.7,76.2,4,9,50.8
20,4.1,6.6,4.3,3.2,92.9,1,25,65.2
20,3.8,7.4,2.0,1.0,96.4,5,28,79.7
20,4.5,5.0,3.8,2.1,83.2,4,18,52.4
22,4.6,5.6,0.9,1.2,74.1,5,9,60.0
23,2.8,5.7,0.5,1.5,100.0,6,10,57.6
24,4.3,9.6,2.8,2.0,86.7,3,6,44.0
22,3.2,4.9,6.2,3.6,95.0,4,3,42.0
18,5.3,6.4,3.8,2.4,53.1,1,10,64.4
19,4.1,6.2,3.9,2.2,48.6,7,21,49.3
22,4.8,7.4,4.7,2.7,70.9,7,18,57.4
19,3.8,9.5,2.4,1.3,46.0,4,8,38.6
20,3.3,5.6,3.7,2.5,79.3,10,29,61.6
24,4.4,7.7,3.6,2.7,62.9,5,19,60.5
21,6.0,6.2,3.8,3.4,49.2,9,21,62.4
19,5.1,7.5,6.6,4.9,81.2,4,17,55.5
20,4.9,7.1,1.8,0.8,58.3,10,20,55.6
18,8.5,5.1,4.5,2.9,77.8,1,29,74.6
18,5.0,7.0,4.5,3.8,81.0,9,20,56.1
24,7.7,8.3,1.1,0.9,65.2,7,14,65.3
24,3.5,5.3,5.7,4.5,75.8,9,28,55.4
21,2.5,9.4,4.4,3.1,74.5,7,6,32.4
23,4.5,6.5,3.3,1.8,87.2,6,6,54.6
18,2.4,4.1,4.5,3.6,57.3,4,29,42.7
19,4.6,5.8,4.1,3.1,53.9,8,29,60.9
24,4.0,7.7,5.1,4.0,79.9,8,3,45.6
21,3.3,3.7,5.8,3.9,73.9,1,24,39.3
20,3.8,6.5,4.8,3.3,85.6,5,24,65.2
23,7.1,6.3,3.9,3.2,70.4,8,18,67.1
22,4.8,7.2,3.5,2.2,81.0,5,13,60.1
18,1.4,6.2,5.9,4.2,87.4,1,13,44.0
22,1.6,3.4,2.6,1.2,95.8,4,10,28.8
21,2.2,8.5,4.4,3.1,86.4,5,13,40.0
20,3.7,5.5,1.7,0.9,95.5,3,7,48.6
18,5.0,8.0,2.5,1.5,62.3,2,28,64.2
23,7.4,7.0,4.8,3.3,62.5,9,28,67.4
23,0.5,8.1,3.7,2.1,74.4,10,10,32.2
18,3.5,7.1,4.1,3.0,75.2,9,14,47.0
18,4.3,6.3,3.5,2.2,93.2,3,10,61.0
20,7.1,6.5,4.1,2.9,70.6,6,23,69.3
23,2.2,5.1,3.9,2.7,85.3,7,9,41.9
18,3.2,6.2,4.8,3.3,79.8,3,20,52.8
18,5.3,4.2,5.2,3.7,80.4,1,19,47.5
22,5.7,7.4,2.4,2.9,62.6,3,27,76.8
22,1.9,9.4,0.5,0.2,91.6,4,4,34.7
20,2.0,5.9,4.6,3.0,83.8,8,16,41.4
21,4.6,5.6,5.6,4.1,71.6,3,28,61.8
